session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
797yw66a,25,smonyjon,0,,InitializeParticipant,1685889753,1,0,0
797yw66a,7,7hiqf5si,3,Survey,ComprehensionCheck_1,1685889762,1,0,0
797yw66a,5,2vqmyd46,4,Survey,ComprehensionCheck_2,1685889764,1,0,0
797yw66a,23,vlf7swd4,1,Survey,Demographics,1685889766,1,0,0
797yw66a,23,vlf7swd4,2,Survey,Introduction,1685889768,1,0,0
797yw66a,22,extwjwfo,1,Survey,Demographics,1685889770,1,0,0
797yw66a,5,2vqmyd46,118,Survey,Results_failed_comprehension,1685889770,12,0,0
797yw66a,25,smonyjon,1,Survey,Demographics,1685889773,1,0,0
797yw66a,26,r799lajc,0,,InitializeParticipant,1685889773,1,0,0
797yw66a,25,smonyjon,2,Survey,Introduction,1685889778,1,0,0
797yw66a,24,knypi6yk,1,Survey,Demographics,1685889789,1,0,0
797yw66a,16,13rlvjc5,3,Survey,ComprehensionCheck_1,1685889792,1,0,0
797yw66a,17,fssh26v6,1,Survey,Demographics,1685889793,1,0,0
797yw66a,9,guve55u2,3,Survey,ComprehensionCheck_1,1685889806,1,0,0
797yw66a,26,r799lajc,1,Survey,Demographics,1685889807,1,0,0
797yw66a,21,z3g0geb8,2,Survey,Introduction,1685889808,1,0,0
797yw66a,17,fssh26v6,2,Survey,Introduction,1685889810,1,0,0
797yw66a,26,r799lajc,2,Survey,Introduction,1685889811,1,0,0
797yw66a,27,abcb6f1g,0,,InitializeParticipant,1685889820,1,0,0
797yw66a,6,u3hipu04,4,Survey,ComprehensionCheck_2,1685889820,1,0,0
797yw66a,25,smonyjon,3,Survey,ComprehensionCheck_1,1685889833,1,0,0
797yw66a,3,6faa3ixk,2,Survey,Introduction,1685889840,1,0,0
797yw66a,13,gfouav3o,2,Survey,Introduction,1685889844,1,0,0
797yw66a,24,knypi6yk,2,Survey,Introduction,1685889846,1,0,0
797yw66a,22,extwjwfo,2,Survey,Introduction,1685889850,1,0,0
797yw66a,6,u3hipu04,118,Survey,Results_failed_comprehension,1685889853,12,0,0
797yw66a,25,smonyjon,4,Survey,ComprehensionCheck_2,1685889854,1,0,0
797yw66a,20,34qgrk53,2,Survey,Introduction,1685889855,1,0,0
797yw66a,25,smonyjon,118,Survey,Results_failed_comprehension,1685889859,12,0,0
797yw66a,28,wqk6g9gd,0,,InitializeParticipant,1685889873,1,0,0
797yw66a,27,abcb6f1g,1,Survey,Demographics,1685889877,1,0,0
797yw66a,27,abcb6f1g,2,Survey,Introduction,1685889883,1,0,0
797yw66a,28,wqk6g9gd,1,Survey,Demographics,1685889885,1,0,0
797yw66a,16,13rlvjc5,4,Survey,ComprehensionCheck_2,1685889898,1,0,0
797yw66a,16,13rlvjc5,118,Survey,Results_failed_comprehension,1685889913,12,0,0
797yw66a,29,epmbvo3y,0,,InitializeParticipant,1685889922,1,0,0
797yw66a,4,okhug9b3,3,Survey,ComprehensionCheck_1,1685889925,1,0,0
797yw66a,28,wqk6g9gd,2,Survey,Introduction,1685889929,1,0,0
797yw66a,30,d6hvegvu,0,,InitializeParticipant,1685889940,1,0,0
797yw66a,29,epmbvo3y,1,Survey,Demographics,1685889953,1,0,0
797yw66a,10,p2zthucn,3,Survey,ComprehensionCheck_1,1685889963,1,0,0
797yw66a,29,epmbvo3y,2,Survey,Introduction,1685889966,1,0,0
797yw66a,30,d6hvegvu,1,Survey,Demographics,1685889972,1,0,0
797yw66a,28,wqk6g9gd,3,Survey,ComprehensionCheck_1,1685889984,1,0,0
797yw66a,14,bo5ks1p8,3,Survey,ComprehensionCheck_1,1685889990,1,0,0
797yw66a,31,b2nyzjsv,0,,InitializeParticipant,1685889993,1,0,0
797yw66a,28,wqk6g9gd,5,Survey,Choice,1685890001,1,0,0
797yw66a,20,34qgrk53,3,Survey,ComprehensionCheck_1,1685890005,1,0,0
797yw66a,31,b2nyzjsv,1,Survey,Demographics,1685890005,1,0,0
797yw66a,21,z3g0geb8,3,Survey,ComprehensionCheck_1,1685890018,1,0,0
797yw66a,32,4r53q1rv,0,,InitializeParticipant,1685890019,1,0,0
797yw66a,33,lbqj0f6g,0,,InitializeParticipant,1685890019,1,0,0
797yw66a,34,erh2458y,0,,InitializeParticipant,1685890020,1,0,0
797yw66a,28,wqk6g9gd,15,Survey,Choice,1685890025,2,0,0
797yw66a,3,6faa3ixk,3,Survey,ComprehensionCheck_1,1685890028,1,0,0
797yw66a,20,34qgrk53,5,Survey,Choice,1685890031,1,0,0
797yw66a,30,d6hvegvu,2,Survey,Introduction,1685890031,1,0,0
797yw66a,33,lbqj0f6g,1,Survey,Demographics,1685890032,1,0,0
797yw66a,33,lbqj0f6g,2,Survey,Introduction,1685890038,1,0,0
797yw66a,32,4r53q1rv,1,Survey,Demographics,1685890051,1,0,0
797yw66a,34,erh2458y,1,Survey,Demographics,1685890051,1,0,0
797yw66a,21,z3g0geb8,5,Survey,Choice,1685890051,1,0,0
797yw66a,31,b2nyzjsv,2,Survey,Introduction,1685890052,1,0,0
797yw66a,32,4r53q1rv,2,Survey,Introduction,1685890055,1,0,0
797yw66a,14,bo5ks1p8,5,Survey,Choice,1685890058,1,0,0
797yw66a,34,erh2458y,2,Survey,Introduction,1685890065,1,0,0
797yw66a,28,wqk6g9gd,25,Survey,Choice,1685890069,3,0,0
797yw66a,33,lbqj0f6g,3,Survey,ComprehensionCheck_1,1685890079,1,0,0
797yw66a,35,q1sxng6b,0,,InitializeParticipant,1685890088,1,0,0
797yw66a,4,okhug9b3,4,Survey,ComprehensionCheck_2,1685890092,1,0,0
797yw66a,28,wqk6g9gd,35,Survey,Choice,1685890098,4,0,0
797yw66a,4,okhug9b3,118,Survey,Results_failed_comprehension,1685890109,12,0,0
797yw66a,28,wqk6g9gd,45,Survey,Choice,1685890118,5,0,0
797yw66a,21,z3g0geb8,15,Survey,Choice,1685890119,2,0,0
797yw66a,20,34qgrk53,15,Survey,Choice,1685890124,2,0,0
797yw66a,14,bo5ks1p8,15,Survey,Choice,1685890128,2,0,0
797yw66a,36,uyz6s0vc,0,,InitializeParticipant,1685890129,1,0,0
797yw66a,28,wqk6g9gd,55,Survey,Choice,1685890134,6,0,0
797yw66a,31,b2nyzjsv,3,Survey,ComprehensionCheck_1,1685890144,1,0,0
797yw66a,20,34qgrk53,25,Survey,Choice,1685890148,3,0,0
